ticker,is_loss_making,eps_growth_3y_pct,target_pe_bear,target_pe_base,target_pe_bull,manual_forward_eps,max_position_pct,sector_group
004490,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
317450,0.0,10.0,8.0,12.0,16.0,,3.0,제약
002020,0.0,10.0,8.0,12.0,16.0,,3.0,복합기업
079160,0.0,10.0,8.0,12.0,16.0,,3.0,방송과엔터테인먼트
006110,0.0,10.0,8.0,12.0,16.0,,3.0,비철금속
017900,0.0,10.0,8.0,12.0,16.0,,3.0,전자장비와기기
003000,0.0,10.0,8.0,12.0,16.0,,3.0,제약
001270,0.0,10.0,8.0,12.0,16.0,,3.0,증권
000370,0.0,10.0,8.0,12.0,16.0,,3.0,손해보험
00104K,0.0,10.0,8.0,12.0,16.0,,3.0,복합기업
007700,0.0,10.0,8.0,12.0,16.0,,3.0,"섬유,의류,신발,호화품"
178920,0.0,10.0,8.0,12.0,16.0,,3.0,화학
336370,0.0,10.0,8.0,12.0,16.0,,3.0,전자장비와기기
093050,0.0,10.0,8.0,12.0,16.0,,3.0,"섬유,의류,신발,호화품"
014820,0.0,10.0,8.0,12.0,16.0,,3.0,포장재
214320,0.0,10.0,8.0,12.0,16.0,,3.0,광고
005090,0.0,10.0,8.0,12.0,16.0,,3.0,에너지장비및서비스
114090,0.0,10.0,8.0,12.0,16.0,,3.0,"호텔,레스토랑,레저"
069260,0.0,10.0,8.0,12.0,16.0,,3.0,화학
019170,0.0,10.0,8.0,12.0,16.0,,3.0,제약
003280,0.0,10.0,8.0,12.0,16.0,,3.0,해운사
293940,0.0,10.0,8.0,12.0,16.0,,3.0,湲고?
001680,0.0,10.0,8.0,12.0,16.0,,3.0,식품
001060,0.0,10.0,8.0,12.0,16.0,,3.0,제약
217590,0.0,10.0,8.0,12.0,16.0,,3.0,조선
002350,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
161000,0.0,10.0,8.0,12.0,16.0,,3.0,화학
005180,0.0,10.0,8.0,12.0,16.0,,3.0,식품
058650,0.0,10.0,8.0,12.0,16.0,,3.0,철강
005250,0.0,10.0,8.0,12.0,16.0,,3.0,제약
001500,0.0,10.0,8.0,12.0,16.0,,3.0,증권
000400,0.0,10.0,8.0,12.0,16.0,,3.0,손해보험
002240,0.0,10.0,8.0,12.0,16.0,,3.0,철강
001820,0.0,10.0,8.0,12.0,16.0,,3.0,전기제품
017940,0.0,10.0,8.0,12.0,16.0,,3.0,가스유틸리티
039130,0.0,10.0,8.0,12.0,16.0,,3.0,"호텔,레스토랑,레저"
002840,0.0,10.0,8.0,12.0,16.0,,3.0,화학
000640,0.0,10.0,8.0,12.0,16.0,,3.0,제약
094800,0.0,10.0,8.0,12.0,16.0,,3.0,기타
010820,0.0,10.0,8.0,12.0,16.0,,3.0,우주항공과국방
002960,0.0,10.0,8.0,12.0,16.0,,3.0,화학
005810,0.0,10.0,8.0,12.0,16.0,,3.0,비철금속
008730,0.0,10.0,8.0,12.0,16.0,,3.0,포장재
130660,0.0,10.0,8.0,12.0,16.0,,3.0,전기유틸리티
383800,0.0,10.0,8.0,12.0,16.0,,3.0,무역회사와판매업체
005420,0.0,10.0,8.0,12.0,16.0,,3.0,화학
001570,0.0,10.0,8.0,12.0,16.0,,3.0,화학
268280,0.0,10.0,8.0,12.0,16.0,,3.0,화학
009410,0.0,10.0,8.0,12.0,16.0,,3.0,건설
0120G0,0.0,10.0,8.0,12.0,16.0,,3.0,건강관리장비와용품
006380,0.0,10.0,8.0,12.0,16.0,,3.0,화학
271940,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
448730,0.0,10.0,8.0,12.0,16.0,,3.0,湲고?
950210,0.0,10.0,8.0,12.0,16.0,,3.0,제약
014830,0.0,10.0,8.0,12.0,16.0,,3.0,화학
016380,0.0,10.0,8.0,12.0,16.0,,3.0,철강
016610,0.0,10.0,8.0,12.0,16.0,,3.0,증권
005389,0.0,10.0,8.0,12.0,16.0,,3.0,자동차
284740,0.0,10.0,8.0,12.0,16.0,,3.0,가정용기기와용품
004690,0.0,10.0,8.0,12.0,16.0,,3.0,가스유틸리티
020000,0.0,10.0,8.0,12.0,16.0,,3.0,"섬유,의류,신발,호화품"
009900,0.0,10.0,8.0,12.0,16.0,,3.0,자동차부품
002030,0.0,10.0,8.0,12.0,16.0,,3.0,건축자재
016590,0.0,10.0,8.0,12.0,16.0,,3.0,포장재
003300,0.0,10.0,8.0,12.0,16.0,,3.0,건축자재
377740,0.0,10.0,8.0,12.0,16.0,,3.0,건강관리장비와용품
000070,0.0,10.0,8.0,12.0,16.0,,3.0,화학
453340,0.0,10.0,8.0,12.0,16.0,,3.0,식품
460860,0.0,10.0,8.0,12.0,16.0,,3.0,철강
381970,0.0,10.0,8.0,12.0,16.0,,3.0,자동차
105840,0.0,10.0,8.0,12.0,16.0,,3.0,기계
029530,0.0,10.0,8.0,12.0,16.0,,3.0,사무용전자제품
034310,0.0,10.0,8.0,12.0,16.0,,3.0,IT서비스
006220,0.0,10.0,8.0,12.0,16.0,,3.0,은행
145990,0.0,10.0,8.0,12.0,16.0,,3.0,식품
031430,0.0,10.0,8.0,12.0,16.0,,3.0,"섬유,의류,신발,호화품"
006340,0.0,10.0,8.0,12.0,16.0,,3.0,전기장비
001200,0.0,10.0,8.0,12.0,16.0,,3.0,증권
029460,0.0,10.0,8.0,12.0,16.0,,3.0,반도체와반도체장비
145720,0.0,10.0,8.0,12.0,16.0,,3.0,건강관리장비와용품
