trade_date,index_code,close,volume,advance_count,decline_count,data_source
20260312,KOSPI,5583.25,801300,413.0,340.0,yfinance
20260313,KOSPI,5487.240234375,907700,292.0,462.0,yfinance
20260316,KOSPI,5549.85009765625,1073900,231.0,529.0,yfinance
20260317,KOSPI,5640.47998046875,1135100,486.0,274.0,yfinance
20260318,KOSPI,5925.02978515625,1143800,608.0,153.0,yfinance
20260319,KOSPI,5763.22021484375,1184200,156.0,611.0,yfinance
20260320,KOSPI,5781.2001953125,1490800,560.0,198.0,yfinance
20260323,KOSPI,5405.75,1125600,42.0,729.0,yfinance
20260324,KOSPI,5553.919921875,1170500,611.0,156.0,yfinance
20260325,KOSPI,5642.2099609375,763200,628.0,124.0,yfinance
20260326,KOSPI,5460.4599609375,925100,163.0,599.0,yfinance
20260327,KOSPI,5438.8701171875,900100,370.0,312.0,yfinance
20260330,KOSPI,5277.2998046875,727400,106.0,669.0,yfinance
20260331,KOSPI,5052.4599609375,1163300,83.0,682.0,yfinance
20260401,KOSPI,5478.7001953125,959000,736.0,40.0,yfinance
20260402,KOSPI,5234.0498046875,1428200,61.0,710.0,yfinance
20260403,KOSPI,5377.2998046875,1185200,464.0,295.0,yfinance
20260406,KOSPI,5450.330078125,1110500,263.0,489.0,yfinance
20260407,KOSPI,5494.77978515625,990400,260.0,488.0,yfinance
20260408,KOSPI,5872.33984375,932600,703.0,60.0,yfinance
20260409,KOSPI,5778.009765625,1026700,266.0,486.0,yfinance
20260410,KOSPI,5858.8701171875,1002400,575.0,178.0,yfinance
20260413,KOSPI,5808.6201171875,1083200,321.0,427.0,yfinance
20260414,KOSPI,5967.75,889500,595.0,160.0,yfinance
20260415,KOSPI,6091.39013671875,923800,557.0,194.0,yfinance
20260416,KOSPI,6226.0498046875,925700,555.0,195.0,yfinance
20260417,KOSPI,6191.919921875,689700,400.0,347.0,yfinance
20260420,KOSPI,6219.08984375,692900,302.0,445.0,yfinance
20260421,KOSPI,6388.47021484375,792000,398.0,356.0,yfinance
20260422,KOSPI,6417.93017578125,900100,385.0,360.0,yfinance
20260423,KOSPI,6475.81005859375,1042400,317.0,434.0,yfinance
20260424,KOSPI,6475.6298828125,878200,559.0,194.0,yfinance
20260427,KOSPI,6615.02978515625,842700,436.0,315.0,yfinance
20260428,KOSPI,6641.02001953125,1139472,331.0,424.0,yfinance
20250428,KOSDAQ,719.4099731445312,1000,0.0,0.0,yfinance
20250429,KOSDAQ,726.4600219726562,900,543.0,176.0,yfinance
20250430,KOSDAQ,717.239990234375,900,233.0,479.0,yfinance
20250502,KOSDAQ,721.8599853515625,700,373.0,343.0,yfinance
20250507,KOSDAQ,722.8099975585938,700,417.0,288.0,yfinance
20250508,KOSDAQ,729.5900268554688,700,458.0,241.0,yfinance
20250509,KOSDAQ,722.52001953125,900,280.0,433.0,yfinance
20250512,KOSDAQ,725.4000244140625,1016100,504.0,225.0,yfinance
20250513,KOSDAQ,731.8800048828125,1200,422.0,293.0,yfinance
20250514,KOSDAQ,739.0499877929688,1000,507.0,209.0,yfinance
20250515,KOSDAQ,733.22998046875,1100,234.0,493.0,yfinance
20250516,KOSDAQ,725.0700073242188,1100,268.0,463.0,yfinance
20250519,KOSDAQ,713.75,1300,190.0,533.0,yfinance
20250520,KOSDAQ,715.5499877929688,1000,405.0,315.0,yfinance
20250521,KOSDAQ,723.6199951171875,800,425.0,284.0,yfinance
20250522,KOSDAQ,717.6699829101562,1100,176.0,553.0,yfinance
20250523,KOSDAQ,715.97998046875,1000,339.0,385.0,yfinance
20250526,KOSDAQ,725.27001953125,800,537.0,183.0,yfinance
20250527,KOSDAQ,727.1099853515625,800,291.0,427.0,yfinance
20250528,KOSDAQ,728.7899780273438,1000,436.0,288.0,yfinance
20250529,KOSDAQ,736.2899780273438,900,573.0,153.0,yfinance
20250530,KOSDAQ,734.3499755859375,900,271.0,452.0,yfinance
20250602,KOSDAQ,740.2899780273438,800,300.0,419.0,yfinance
20250604,KOSDAQ,750.2100219726562,900,608.0,120.0,yfinance
20250605,KOSDAQ,756.22998046875,900,457.0,269.0,yfinance
20250609,KOSDAQ,764.2100219726562,1100,461.0,258.0,yfinance
20250610,KOSDAQ,771.2000122070312,1400,385.0,340.0,yfinance
20250611,KOSDAQ,786.2899780273438,1600,515.0,206.0,yfinance
20250612,KOSDAQ,789.4500122070312,1300,383.0,348.0,yfinance
20250613,KOSDAQ,768.8599853515625,1100,132.0,608.0,yfinance
20250616,KOSDAQ,777.260009765625,1100,459.0,264.0,yfinance
20250617,KOSDAQ,775.6500244140625,1100,319.0,405.0,yfinance
