기준일,종목명,종목코드,시장,섹터그룹,종가,20일이평,60일이평,120일이평,200일이평,200일선상단여부,RSI14,MACD히스토그램,거래량비율20일,20일돌파,5일수익률(%),20일수익률(%),후행EPS(DART),컨센서스EPS(스크랩),자동선행EPS,원본EPS출처,EPS소스,수동선행EPS,모델EPS,현재PER,적정주가_기준,상승여력(%),밸류점수,기술점수,시장상태,레짐비중배수,date,market_regime,regime_weight_multiplier,sector_group
2026-05-06,스튜디오드래곤,253450,KQ,방송과엔터테인먼트,33950.0,34975.0,39318.333333333336,40743.75,42738.25,0,35.66841770564227,129.0190935264303,1.1223918519400742,0,-4.096045197740117,1.041666666666674,343.31802111336367,1316.0,1316.0,DART,TRAILING_DART,,343.31802111336367,98.88790541755367,4119.8162533603645,-87.86504785460865,5.0,15.293972834779877,BULL,1.0,2026-05-06,BULL,1.0,방송과엔터테인먼트
2026-05-06,루닛,328130,KQ,건강관리기술,22300.0,18790.0,18896.666666666668,19432.916666666668,20186.375,1,72.09181185585369,427.8496093005276,1.5661965132934192,1,16.753926701570677,40.251572327044016,-1618.2511744949595,,-1780.0762919444555,DART|DAILY_DISC,TRAILING_DART,,-1618.2511744949595,-13.780308243533092,-19419.014093939513,-187.08078069031174,5.0,76.40552635959986,BULL,1.0,2026-05-06,BULL,1.0,건강관리기술
2026-05-06,온코닉테라퓨틱스,476060,KQ,제약,20500.0,22021.5,21442.833333333332,19861.666666666668,16166.2375,1,42.72224479133619,-224.87227266298683,1.2407653205591338,0,-10.480349344978169,3.9553752535496978,351.63178863139774,,386.7949674945376,DART,TRAILING_DART,,351.63178863139774,58.29962097508019,4219.581463576773,-79.41667578743038,5.0,52.94968101939876,BULL,1.0,2026-05-06,BULL,1.0,제약
2026-05-06,에스에프에이,056190,KQ,기계,32100.0,30242.5,30134.166666666668,27347.083333333332,26047.25,1,59.68799229986545,208.7242932913024,1.4160515842495478,0,-0.92592592592593,22.05323193916351,1450.9773826219564,,1596.075120884152,DART,TRAILING_DART,,1450.9773826219564,22.12301885918746,17411.728591463478,-45.75785485525397,5.0,71.1016749008148,BULL,1.0,2026-05-06,BULL,1.0,기계
2026-05-06,와이지엔터테인먼트,122870,KQ,방송과엔터테인먼트,51300.0,53160.0,60671.666666666664,63193.333333333336,75603.5,0,37.212950963064934,280.84742517461154,1.2343151091676114,0,-5.350553505535061,1.183431952662728,2875.421160845493,3421.0,3421.0,DART,TRAILING_DART,,2875.421160845493,17.84086473959024,34505.053930145914,-32.73868629601186,11.35364949098962,17.10439796109378,BULL,1.0,2026-05-06,BULL,1.0,방송과엔터테인먼트
2026-05-06,필옵틱스,161580,KQ,전자장비와기기,63000.0,45952.5,45422.5,45101.666666666664,41258.0,1,73.79909850728436,1242.8887162671087,13.792196913010658,1,20.68965517241379,68.0,-1127.4324798301118,,-1240.175727813123,DART,TRAILING_DART,,-1127.4324798301118,-55.87917780184336,-13529.189757961341,-121.47490437771641,5.0,89.47662382592702,BULL,1.0,2026-05-06,BULL,1.0,전자장비와기기
2026-05-06,성광벤드,014620,KQ,기계,45350.0,41837.5,37120.833333333336,32493.75,32292.25,1,62.65137563781432,401.0844878727944,1.6177586769229098,0,-6.107660455486541,12.531017369727039,1296.518863694454,1639.0,1639.0,DART,TRAILING_DART,,1296.518863694454,34.97828012372636,15558.226364333448,-65.69299588901114,5.0,81.23309918809322,BULL,1.0,2026-05-06,BULL,1.0,기계
2026-05-06,쏠리드,050890,KQ,통신장비,18440.0,16647.0,12895.5,10291.25,8891.7,1,64.06517619567634,-27.319378263473936,1.8449841706323478,0,9.892729439809301,17.902813299232733,599.8231769606871,,659.8054946567559,DART,TRAILING_DART,,599.8231769606871,30.742393272356953,7197.878123528245,-60.96595377696179,5.0,77.79380266872955,BULL,1.0,2026-05-06,BULL,1.0,통신장비
2026-05-06,씨아이에스,222080,KQ,전기제품,16890.0,14677.0,13578.666666666666,10639.083333333334,9270.25,1,62.60332913636363,272.79808707786356,0.4120260254478011,0,-1.4010507880910628,43.867120954003404,369.3951190293502,,406.3346309322853,DART,TRAILING_DART,,369.3951190293502,45.723397873749406,4432.741428352203,-73.75523133006392,5.0,78.35595387987013,BULL,1.0,2026-05-06,BULL,1.0,전기제품
2026-05-06,태웅,044490,KQ,에너지장비및서비스,56000.0,50312.5,43801.666666666664,35507.083333333336,35376.5,1,59.891796977612174,467.1575920241312,1.1463261723259885,0,2.752293577981657,11.553784860557759,270.6256578509701,,297.6882236360671,DART,TRAILING_DART,,270.6256578509701,206.92790345414494,3247.5078942116406,-94.20087876033637,5.0,79.53659907228975,BULL,1.0,2026-05-06,BULL,1.0,에너지장비및서비스
2026-05-06,선익시스템,171090,KQ,디스플레이장비및부품,92800.0,98215.0,103218.33333333333,77699.58333333333,63367.25,1,44.312614100744774,-531.458519215912,1.1905403312163683,0,-18.951965065502186,3.111111111111109,9554.342664768546,9313.0,9313.0,DART,TRAILING_DART,,9554.342664768546,9.712860764581764,114652.11197722255,23.54753445821396,55.305897397839075,45.75232106788314,BULL,1.0,2026-05-06,BULL,1.0,디스플레이장비및부품
2026-05-06,코나아이,052400,KQ,IT서비스,55500.0,59215.0,60283.333333333336,54252.916666666664,53277.0,1,43.628724246102124,-735.5335558087402,1.127854432922671,0,-6.091370558375631,3.93258426966292,5118.52637092811,,5630.379008020921,DART,TRAILING_DART,,5118.52637092811,10.842964552302686,61422.31645113732,10.670840452499665,46.93604629412478,33.24610473930577,BULL,1.0,2026-05-06,BULL,1.0,IT서비스
2026-05-06,성일하이텍,365340,KQ,전기제품,77200.0,74735.0,64645.833333333336,55291.666666666664,48598.5,1,57.96970831332144,-153.4750572464245,0.8326881455007842,0,-1.9059720457433316,28.881469115191983,-6563.038083629675,-318.0,-318.0,DART,TRAILING_DART,,-6563.038083629675,-11.762845044669417,-78756.4570035561,-202.01613601496905,5.0,74.41864843997647,BULL,1.0,2026-05-06,BULL,1.0,전기제품
